"Reverse Debugging Commands","Reverse Step Over","⇧F6","Debugging C/C++"
"Edit","Cut","⌃W","In Dialogs and Windows"
"Project","Make Target Build","⇧F9","In Windows"
"Text Editing","Set Mark","⌃2","Editing Text"
"Text Editing","Cut to Beginning of Line","Esc 0 ⌃K","Editing Text"
"Terminal view commands","Terminal view insert","⌥T","Terminal Typing Connected"
"Text Editing","Collapse","⌘Numpad_Subtract","Editing Text"
"Text Editing","Select Line End","⇧⌘→","Editing Text"
"Text Editing","Move Lines Up","⌥↑","Editing Text"
"Run/Debug","Run to Line","⌘R","Debugging"
"Changelog","Prepare Commit","⌃⌥V","Editing Text"
"Editor Commands","Download Sources","⇧⌃R D","Specfile Editor Context"
"Text Editing","Page Up","⌥V","Editing Text"
"Navigate","Open Call Hierarchy","⌃⌘M","C/C++ Editor"
"Terminal view commands","Terminal view insert","⌥G","Terminal Typing Connected"
"Window","Switch to Editor","⌃X ⌃B","In Windows"
"Navigate","Open Call Hierarchy","⌃⌘M","In C/C++ Views"
"Navigate","Go to Line","⌘L","Editing Text"
"Search","Find Text in File","⌘F","In Windows"
"Navigate","Previous Sub-Tab","⌥⇞","In Dialogs and Windows"
"Source","Open Declaration","⌃⌘L","C/C++ Editor"
"Terminal view commands","Terminal view insert","⌥S","Terminal Typing Connected"
"Navigate","Next Sub-Tab","⌥⇟","In Dialogs and Windows"
"Navigate","Expand All","⇧⌘Numpad_Multiply","In Windows"
"Terminal view commands","Terminal view insert","⌥E","Terminal Typing Connected"
"Text Editing","Reset Structure","⇧⌘Numpad_Multiply","Editing Text"
"Task Repositories","Mark Task Complete","⇧⌥C","In Tasks View"
"Navigate","Quick Outline","⌃6","WikiText Markup Source Context"
"Navigate","Open Type Hierarchy","⇧⌘H","C/C++ Editor"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Refactor - C++","Extract Function - Refactoring ","⌥⌘M","C/C++ Editor"
"Terminal view commands","Terminal view insert","⌥L","Terminal Typing Connected"
"Task Repositories","New Local Task","Insert","In Tasks View"
"Run/Debug","Step Into Selection","⌘F5","Debugging C/C++"
"Edit","Redo","⌃X R","In Windows"
"Source","Go to Matching Bracket","⇧⌘P","C/C++ Editor"
"Task Repositories","Mark Task Unread","⇧⌥U","In Tasks View"
"Editor Commands","Prepare Sources","⇧⌃R P","Specfile Editor Context"
"Refactor - C++","Rename - Refactoring ","⌥⌘R","In C/C++ Views"
"Run/Debug","Toggle Breakpoint","⇧⌘B","In Windows"
"Window","Show Ruler Context Menu","⌘F10","Editing Text"
"Focused UI","Show Context Quick View","⇧⌥⌘→","In Windows"
"Run/Debug","Next Memory Monitor","⌥⌘N","In Memory View"
"Run/Debug","Go to Address","⌘G","In Table Memory Rendering"
"Run/Debug","Step Over","F6","Debugging"
"Source","Show Tooltip Description","F2","Autoconf Editor"
"Project","Rebuild Last Target","F9","In Windows"
"Task Repositories","New Subtask","⇧Insert","In Tasks View"
"File","Print","⌥F9","In Windows"
"Edit","Cut","⌘X","In Dialogs and Windows"
"Text Editing","Cut to End of Line","⌃K","Editing Text"
"Text Editing","Cut to Beginning of Line","⌥0 ⌃K","Editing Text"
"Text Editing","Page Up","Esc V","Editing Text"
"Source","Go to Previous Member","⌃⌥↑","C/C++ Editor"
"Focused UI","Make Landmark","⇧⌥⌘↑","In Windows"
"UML2 Sequence Diagram Viewer Commands","Go to associated message","⌥R","UML2 Sequence Diagram Viewer"
"Text Editing","Expand All","⌘Numpad_Multiply","Editing Text"
"File","Save All","⇧⌘S","In Windows"
"Navigate","Open Task","⌥⌘F12","In Windows"
"UML2 Sequence Diagram Viewer Commands","Scroll up","⇧⌥↑","UML2 Sequence Diagram Viewer"
"Source","Toggle Source/Header","⌘Tab","C/C++ Editor"
"Run/Debug","EOF","⌃D","In I/O Console"
"File","Close All","⌃X ⌃C","In Windows"
"Edit","Word Completion","⌃.","Editing Text"
"Navigate","Collapse All","⇧⌘Numpad_Divide","In Windows"
"Navigate","Open Type Hierarchy","⇧⌘H","In Windows"
"Navigate","Search Repository for Task","⇧⌘F12","In Windows"
"Source","Toggle Mark Occurrences","⌥⌘O","C/C++ Editor"
"Text Editing","Text End","⌥>","Editing Text"
